,Name,Year_of_Release,Publisher,Country,City,Developer,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
0,Wii Sports,2006.0,Nintendo,Japan,Kyoto,Nintendo,Wii,Sports,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,E
1,Super Mario Bros.,1985.0,Nintendo,Japan,Kyoto,,NES,Platform,29.08,3.58,6.81,0.77,40.24,,,,,
2,Mario Kart Wii,2008.0,Nintendo,Japan,Kyoto,Nintendo,Wii,Racing,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,E
3,Wii Sports Resort,2009.0,Nintendo,Japan,Kyoto,Nintendo,Wii,Sports,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,E
4,Pokemon Red/Pokemon Blue,1996.0,Nintendo,Japan,Kyoto,,GB,Role-Playing,11.27,8.89,10.22,1.0,31.37,,,,,
5,Tetris,1989.0,Nintendo,Japan,Kyoto,,GB,Puzzle,23.2,2.26,4.22,0.58,30.26,,,,,
6,New Super Mario Bros.,2006.0,Nintendo,Japan,Kyoto,Nintendo,DS,Platform,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,E
7,Wii Play,2006.0,Nintendo,Japan,Kyoto,Nintendo,Wii,Misc,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,E
8,New Super Mario Bros. Wii,2009.0,Nintendo,Japan,Kyoto,Nintendo,Wii,Platform,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,E
9,Duck Hunt,1984.0,Nintendo,Japan,Kyoto,,NES,Shooter,26.93,0.63,0.28,0.47,28.31,,,,,
10,Nintendogs,2005.0,Nintendo,Japan,Kyoto,,DS,Simulation,9.05,10.95,1.93,2.74,24.67,,,,,
11,Mario Kart DS,2005.0,Nintendo,Japan,Kyoto,Nintendo,DS,Racing,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,E
